ID_CONSULTATION;CONSULTATION_DATE;SYMPTOMS;DIAGNOSIS;PET_WEIGHT;ID_PET;PET_NAME;SPECIES;BREED;PET_BIRTH_DATE;PET_GENDER;ID_TUTOR;TUTOR_NAME;ID_VACCINE;VACCINE_NAME;VACCINE_APPLICATION_DATE;VACCINE_EXPIRATION_DATE;ID_MEDICAL_RECORD;PET_BLOOD_TYPE;PET_ALLERGY;CHRONIC_PET_DISEASE;IS_CASTRATED_PET;LATEST_UPDATE_MEDICAL_RECORD;ID_CLINIC;CLINIC_NAME;RISK
1;25/11/2024;Nenhum sintoma - checkup de rotina;Animal hígido;11,98;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;1;Antirrábica;01/10/2024;01/10/2025;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
1;25/11/2024;Nenhum sintoma - checkup de rotina;Animal hígido;11,98;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;2;Leishmaniose;02/04/2025;02/04/2026;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
2;28/01/2025;Leve apatia;Check-up preventivo normal;12,15;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;1;Antirrábica;01/10/2024;01/10/2025;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
2;28/01/2025;Leve apatia;Check-up preventivo normal;12,15;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;2;Leishmaniose;02/04/2025;02/04/2026;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
3;29/07/2025;Leve apatia;Animal hígido;12,14;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;1;Antirrábica;01/10/2024;01/10/2025;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
3;29/07/2025;Leve apatia;Animal hígido;12,14;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;2;Leishmaniose;02/04/2025;02/04/2026;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
4;21/07/2026;Nenhum sintoma - checkup de rotina;Animal hígido;12,06;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;1;Antirrábica;01/10/2024;01/10/2025;1;DEA 1.1-;;;S;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
4;21/07/2026;Nenhum sintoma - checkup de rotina;Animal hígido;12,06;1;Rex;Cachorro;Bulldog Francês;29/10/2020 09:00;Fêmea;1;Ana Beatriz Souza;2;Leishmaniose;02/04/2025;02/04/2026;1;DEA 1.1-;;Obesidade / risco de resistência à insulina;N;06/08/2026 09:00;3;PetCare Clínica Veterinária;0
5;25/10/2024;Bom estado geral;Sem alterações significativas;42,11;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;3;V10 (Polivalente);02/05/2026;02/05/2027;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;0
5;25/10/2024;Bom estado geral;Sem alterações significativas;42,11;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;4;Leishmaniose;28/07/2025;28/07/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;0
5;25/10/2024;Bom estado geral;Sem alterações significativas;42,11;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;5;Antirrábica;30/09/2024;30/09/2025;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;0
5;25/10/2024;Bom estado geral;Sem alterações significativas;42,11;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;6;Gripe Canina (V4);02/11/2025;02/11/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;0
6;12/10/2025;Dificuldade de locomoção;Obesidade grau I;45,04;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;3;V10 (Polivalente);02/05/2026;02/05/2027;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
6;12/10/2025;Dificuldade de locomoção;Obesidade grau I;45,04;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;4;Leishmaniose;28/07/2025;28/07/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
6;12/10/2025;Dificuldade de locomoção;Obesidade grau I;45,04;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;5;Antirrábica;30/09/2024;30/09/2025;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
6;12/10/2025;Dificuldade de locomoção;Obesidade grau I;45,04;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;6;Gripe Canina (V4);02/11/2025;02/11/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
7;29/05/2026;Apetite aumentado;Obesidade grau II - risco metabólico;48,31;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;3;V10 (Polivalente);02/05/2026;02/05/2027;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
7;29/05/2026;Apetite aumentado;Obesidade grau II - risco metabólico;48,31;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;4;Leishmaniose;28/07/2025;28/07/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
7;29/05/2026;Apetite aumentado;Obesidade grau II - risco metabólico;48,31;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;5;Antirrábica;30/09/2024;30/09/2025;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
7;29/05/2026;Apetite aumentado;Obesidade grau II - risco metabólico;48,31;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;6;Gripe Canina (V4);02/11/2025;02/11/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
8;06/07/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);50,8;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;3;V10 (Polivalente);02/05/2026;02/05/2027;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
8;06/07/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);50,8;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;4;Leishmaniose;28/07/2025;28/07/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
8;06/07/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);50,8;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;5;Antirrábica;30/09/2024;30/09/2025;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
8;06/07/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);50,8;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;6;Gripe Canina (V4);02/11/2025;02/11/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
9;01/08/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);53,38;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;3;V10 (Polivalente);02/05/2026;02/05/2027;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
9;01/08/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);53,38;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;4;Leishmaniose;28/07/2025;28/07/2026;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
9;01/08/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);53,38;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;5;Antirrábica;30/09/2024;30/09/2025;2;DEA 1.1+;;Obesidade / risco de resistência à insulina;N;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
9;01/08/2026;Leve falta de ar;Pré-diabetes (glicemia levemente elevada);53,38;2;Luna;Cachorro;Rottweiler;15/03/2016 09:00;Fêmea;2;Carlos Eduardo Lima;6;Gripe Canina (V4);02/11/2025;02/11/2026;2;DEA 1.1+;;Doença renal crônica (estágio inicial);S;13/07/2026 09:00;3;PetCare Clínica Veterinária;1
10;09/03/2025;Nenhum sintoma - checkup de rotina;Animal hígido;3,89;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;7;V5 Felina;29/03/2026;29/03/2027;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;0
10;09/03/2025;Nenhum sintoma - checkup de rotina;Animal hígido;3,89;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;8;Leucemia Felina (FeLV);21/06/2025;21/06/2026;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;0
10;09/03/2025;Nenhum sintoma - checkup de rotina;Animal hígido;3,89;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;9;Antirrábica;05/12/2024;05/12/2025;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;0
11;01/09/2025;Perda de apetite;Doença renal crônica - estágio 2;3,67;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;7;V5 Felina;29/03/2026;29/03/2027;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
11;01/09/2025;Perda de apetite;Doença renal crônica - estágio 2;3,67;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;8;Leucemia Felina (FeLV);21/06/2025;21/06/2026;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
11;01/09/2025;Perda de apetite;Doença renal crônica - estágio 2;3,67;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;9;Antirrábica;05/12/2024;05/12/2025;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
